N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;60;-0.59;0.17;0.25;0.21;0.16;0.22;0.1;0;0
2;60;-0.62;0.15;0.27;0.18;0.17;0.23;1;1;0
1;61;-0.71;0.17;0.2;0.19;0.18;0.27;0.19;0;0
2;61;-0.62;0.16;0.28;0.17;0.11;0.28;0.13;0;0
3;61;-0.48;0.16;0.25;0.19;0.17;0.24;0.11;0;0
4;61;-0.53;0.16;0.21;0.2;0.17;0.26;0.25;0;0
5;61;-0.5;0.18;0.24;0.19;0.16;0.23;0.19;0;0
6;61;-0.82;0.16;0.22;0.22;0.19;0.21;0.03;0;0
7;61;-0.74;0.15;0.22;0.21;0.18;0.23;0.12;0;0
8;61;-0.77;0.18;0.2;0.23;0.2;0.19;0.08;0;0
9;61;-1.49;0.15;0.19;0.29;0.15;0.22;0.12;0;0
1;62;-0.32;0.17;0.23;0.25;0.13;0.22;0.17;0;0
2;62;-0.72;0.15;0.23;0.25;0.15;0.23;0.17;0;0
3;62;-0.77;0.15;0.2;0.26;0.18;0.22;0.07;0;0
1;63;-0.91;0.16;0.2;0.23;0.18;0.22;0.22;0;0
2;63;-0.67;0.16;0.21;0.24;0.16;0.22;0.15;0;0
1;64;-0.61;0.17;0.2;0.21;0.18;0.24;0.05;0;0
2;64;-0.55;0.16;0.18;0.2;0.16;0.29;0.09;0;0
3;64;-0.6;0.15;0.2;0.37;0.11;0.17;0.04;0;0
4;64;-0.63;0.17;0.25;0.18;0.15;0.26;0.04;0;0
5;64;-0.63;0.13;0.18;0.47;0.07;0.16;0.15;0;0
6;64;-0.65;0.12;0.22;0.46;0.07;0.14;0.14;0;0
7;64;-0.68;0.18;0.19;0.32;0.15;0.16;0.1;0;0
8;64;-0.74;0.16;0.22;0.24;0.17;0.21;0.09;0;0
9;64;-0.7;0.18;0.21;0.22;0.2;0.19;0.08;0;0
