N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;81;-1.03;0.1;0.05;0.28;0.17;0.41;0.05;0;0
3;81;-0.79;0.26;0.08;0.14;0.11;0.41;0.07;0;0
4;81;-1.91;0.09;0.03;0.38;0.08;0.41;0.06;0;0
1;82;-0.32;0.05;0.02;0.33;0.1;0.51;0.13;0;0
2;82;-0.01;0.18;0.11;0.07;0.2;0.44;0.1;0;0
3;82;-0.33;0.01;0.0;0.2;0.02;0.77;1;1;0
1;83;-0.75;0.04;0.01;0.53;0.04;0.37;0.05;0;0
2;83;-0.91;0.07;0.03;0.41;0.05;0.44;0.08;0;0
3;83;-0.78;0.2;0.1;0.15;0.18;0.37;0.16;0;0
4;83;-1.4;0.06;0.01;0.39;0.05;0.49;0.15;0;0
1;84;-0.95;0.35;0.14;0.12;0.05;0.34;0.06;0;0
2;84;-0.83;0.38;0.11;0.12;0.05;0.34;0.06;0;0
3;84;-1.24;0.11;0.03;0.48;0.03;0.34;1;1;0
1;85;-0.95;0.06;0.01;0.42;0.06;0.45;0.08;0;0
2;85;-1.55;0.18;0.06;0.22;0.12;0.43;0.04;0;0
1;86;-1.59;0.06;0.02;0.44;0.06;0.42;0.03;0;0
2;86;-1.17;0.13;0.05;0.25;0.11;0.45;0.04;0;0
1;87;-0.59;0.1;0.03;0.45;0.08;0.34;0.07;0;0
2;87;-0.65;0.2;0.16;0.15;0.21;0.29;0.05;0;0
3;87;-1.02;0.26;0.07;0.14;0.17;0.36;0.13;0;0
4;87;-0.67;0.37;0.15;0.09;0.11;0.27;1;1;0
1;88;-1.86;0.18;0.08;0.18;0.11;0.46;0.05;0;0
1;89;-1.01;0.05;0.01;0.25;0.01;0.69;0.04;0;0
2;89;-1.41;0.24;0.09;0.15;0.12;0.4;0.05;0;0
