N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;20000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;77;-0.64;0.23;0.22;0.14;0.22;0.2;0.05;0;0
2;77;-0.52;0.24;0.2;0.15;0.23;0.18;0.05;0;0
3;77;-1.21;0.19;0.22;0.16;0.24;0.19;0.02;0;0
4;77;-1.27;0.18;0.25;0.14;0.23;0.21;0.02;0;0
1;78;-0.94;0.2;0.2;0.18;0.24;0.17;0.05;0;0
2;78;-1.03;0.22;0.18;0.18;0.24;0.19;0.05;0;0
3;78;-1.24;0.21;0.19;0.21;0.21;0.18;0.05;0;0
1;79;-0.5;0.25;0.18;0.18;0.25;0.14;0.05;0;0
2;79;-0.68;0.25;0.18;0.18;0.26;0.14;0.05;0;0
3;79;-1.04;0.23;0.19;0.15;0.28;0.14;0.04;0;0
4;79;0.21;0.27;0.19;0.15;0.25;0.14;0.03;0;0
5;79;-0.4;0.23;0.2;0.15;0.25;0.18;0.03;0;0
6;79;-0.55;0.2;0.2;0.17;0.21;0.21;0.03;0;0
7;79;-0.43;0.21;0.26;0.12;0.18;0.22;0.04;0;0
8;79;-0.91;0.2;0.22;0.15;0.2;0.24;0.06;0;0
9;79;-1.46;0.23;0.22;0.15;0.21;0.19;1;1;0
1;80;-1.1;0.17;0.23;0.17;0.25;0.19;0.01;0;0
2;80;-1.2;0.15;0.22;0.15;0.28;0.19;0.01;0;0
3;80;-1.25;0.16;0.23;0.17;0.27;0.18;0.01;0;0
4;80;-1.58;0.18;0.17;0.18;0.27;0.2;0.01;0;0
5;80;-1.77;0.18;0.17;0.18;0.27;0.2;0.02;0;0
6;80;-1.1;0.19;0.21;0.17;0.24;0.19;0.02;0;0
1;81;0.42;0.19;0.23;0.24;0.23;0.11;0.01;0;0
2;81;0.6;0.19;0.22;0.24;0.23;0.12;0.01;0;0
3;81;0.2;0.19;0.21;0.26;0.18;0.16;0.02;0;0
1;82;0.09;0.27;0.14;0.2;0.23;0.16;0.06;0;0
2;82;0.33;0.25;0.15;0.2;0.24;0.17;0.06;0;0
3;82;0.29;0.27;0.18;0.21;0.17;0.17;0.04;0;0
4;82;0.13;0.29;0.16;0.21;0.2;0.14;0.03;0;0
